id,backers_count
1181169974,2
1354277251,2
1449758764,0
1173580583,0
1662848629,2
1506672323,0
2132562326,0
1708039225,1
2003308254,2
1641401221,2
1475049254,1
1694616421,1
1259731431,2
13062299,1
347294518,0
569596069,0
2064090063,2
1542682138,0
862850902,2
1650581280,0
1127376124,0
527498219,0
837286275,2
2060096323,2
455165335,2
922007534,2
458278346,1
1830726448,1
869190590,1
764091201,1
2022590943,2
167925085,0
1277378548,2
239061045,0
1548808442,1
1941503173,0
790182089,0
191035890,1
584725170,2
1485231552,1
1494806217,2
786741698,1
1931890702,1
1416947894,0
2118849607,2
1213139942,2
1423997236,1
652217556,0
1404447873,0
72270938,1
212897405,2
1094414757,1
716998880,0
1533515498,1
1360366330,0
1807735242,0
708580727,0
609090974,2
1729135650,1
1717264182,2
1470999713,0
824674759,1
1099699733,2
185360495,1
728816185,1
1181155973,1
1472728845,0
1724250679,2
1894038713,2
442714451,2
770045646,0
813051083,1
726692275,2
1144894047,0
358363623,0
370873096,1
845805313,1
1384629952,0
789057950,2
763080801,2
616120940,1
1968864843,2
1408912832,2
1241759121,0
1067750934,0
441400344,1
54940261,1
1713771487,0
1140949815,0
1275707469,1
1492777974,0
1153684772,0
323047344,1
335615568,2
878566844,1
1869903498,1
280556365,1
1838563099,2
1153661418,0
1817635131,1
8852792,1
1619907782,0
670540174,2
1926663986,1
1934666797,0
1701146232,0
1771490120,1
307076231,0
153628634,2
1094222403,2
935683680,1
1234010761,2
1253238328,0
1536923058,0
796335008,1
251473621,1
457623208,1
1816429839,2
1057911404,2
1070615087,2
1480773214,0
572215834,0
1291893277,2
411389782,0
779659420,2
1398187689,0
1810202481,0
1185151992,2
1983517388,2
1783950801,2
2124502054,2
1909454028,0
1930474201,2
525393693,2
1717544457,2
1631694579,0
2078347971,1
1451649327,2
1360716881,2
696492277,2
1103285730,0
1793467268,0
170817041,2
1656500126,0
1889589918,1
1828061972,0
1562430067,0
1577030071,0
722211583,0
385779007,1
1890455448,0
68035989,0
2010411169,0
1744669808,0
960196484,0
669791307,2
1747428996,0
48806525,2
868435582,1
1328759295,0
889497320,0
1499482255,0
1404686858,0
739734053,2
446117919,0
1107194423,2
688289512,0
1208139700,2
938014371,2
1980132209,1
829810684,2
1830932081,2
548148199,0
548016921,2
1300779546,0
514035075,1
2128876575,0
1606916571,0
1773038905,0
1914189903,0
2009223091,2
1003434687,1
984389818,0
702793367,0
1909226870,1
1948398607,1
1135548835,0
271857508,1
199001347,1
563058266,0
631970472,2
146180209,0
1303676873,1
2075234387,0
1884261057,0
1766841860,0
1451690415,0
185073908,1
1824277059,0
1587142952,0
100764449,2
1047245583,2
759035214,1
801605881,1
1627220399,1
701123487,0
1609876771,1
1187665122,0
1253266737,0
1924004748,0
719345187,2
1487071105,0
2101027724,0
736533280,2
1832052872,1
1391173903,2
1481065444,0
1985164356,2
625232224,2
1702253291,0
1331557559,0
1619142788,1
919588075,0
892795457,2
246111031,2
12533993,1
1509287776,2
437046120,0
766289300,2
590569638,2
834210256,2
1050167607,0
10369447,2
980952514,0
1918186276,0
234505346,0
1116578885,2
1502373835,2
711013961,1
59876420,2
1520993175,2
1928496457,0
1618478407,1
908861110,0
1161156052,2
1090800548,1
1162529744,2
2008729762,2
673962114,2
1700466341,1
1383596677,0
406586881,0
41509915,1
1178403139,1
1067647990,1
43715916,0
700141339,1
652835632,1
244265756,1
1382865280,2
1749649667,2
324588073,1
1781105086,1
576359983,2
133995425,1
1562952543,0
1129754040,2
758356802,0
523739556,1
1589355206,2
345590930,1
152632381,2
111679767,2
1232162171,0
1661334631,2
992893750,1
198825928,0
2090275375,2
414964217,1
671588054,0
1348841272,0
852837826,2
410365934,1
1524029012,2
1789862513,2
1522918620,1
356980698,0
1930871381,1
1196017688,0
289521065,0
1532987455,1
685500006,2
1046780445,0
554742057,2
1866699815,2
106447493,2
1649379977,0
871906583,2
2093169625,2
1752179438,0
925988701,2
1545810046,2
974115972,2
180210312,0
1557132247,2
1481700904,1
1547682082,2
1425451605,2
584403342,1
1921082193,0
832942848,2
922339227,0
1154824736,2
1972368242,1
237410642,1
417092759,1
187836837,1
1972562324,0
906195363,2
1817372533,2
2038638368,0
274562216,0
1677324060,2
1096091690,0
761418842,1
1758599366,2
1151378228,2
10018239,0
820791271,1
1765252596,0
1715370322,0
1529162541,0
56768010,1
1486718065,2
1671448868,0
1909020509,1
1226228529,1
2130531067,2
1203999568,2
1760808771,0
153789757,1
770792914,2
1267521070,2
1317962211,2
1839643355,1
884071326,1
448529714,2
876410201,2
865611087,2
2032018510,2
919821472,0
798204742,0
248035885,2
1536478175,2
333635609,2
2044421987,2
1226491591,1
527807479,0
827362159,0
1416624588,2
189172478,2
2005496825,2
2098244741,0
1954080957,0
218726004,0
1268429371,0
1199865934,1
2104363290,1
71843219,1
1079944435,0
682292230,2
1510782993,1
2134932803,2
1535644833,2
1135284137,0
724983231,2
765862093,0
1956586951,1
294541094,0
807443764,2
245437471,2
1401358173,2
2025225584,0
327237778,2
1568171904,2
1153355240,1
380283856,0
481919059,0
1055856751,1
1862212061,1
2122013083,2
1545564010,1
2082166889,0
361716233,0
1340958803,0
1500607910,0
594500899,2
912188198,0
1861572336,1
1875678863,1
942131999,1
1420943825,0
1229176420,0
1720288615,0
233723049,1
359439417,1
322874331,0
1375116463,0
1138738280,0
1535147626,0
588868835,0
747396212,0
1689618090,0
1832579010,0
1851587153,0
349891471,0
434690535,0
1324548743,2
2095603890,1
205633853,2
1172468798,0
1400738470,1
1749874630,0
398024545,2
1026921666,2
456531768,0
1342808317,1
384169399,1
1811895221,0
1908928849,0
1751852441,0
1619368534,0
1356975379,0
195875196,1
14159453,2
27569935,1
190678352,2
1080665263,2
1537100268,0
1388561392,1
461563874,0
306881184,2
787526187,2
1443250614,2
727848379,1
798752754,1
1405781033,1
596084446,1
319326270,1
81934150,2
1069155577,1
1222940920,1
767851598,0
723225916,0
1701852144,2
1051778138,1
1624037853,2
556037348,1
2052988460,1
1985392774,1
342525657,0
148217248,1
506652858,2
263654000,1
375116100,0
165303976,1
1214188849,2
63619263,0
1247104442,0
467743153,0
1824357831,1
1327202148,2
2087220829,1
250768138,2
965237317,0
501997018,1
222807122,2
104274887,0
1535752606,1
1258049206,0
463241349,2
1178806159,1
1972899973,1
66031336,0
73107760,0
2024161611,1
253622364,1
489143495,1
1179548226,0
968846664,0
1563729063,1
1457363090,1
1346982860,1
2083913685,0
1069646848,1
1696538944,1
277798520,2
1138808791,2
1447666347,1
1136635356,2
92614072,1
1808049861,1
1156289845,0
406710693,0
1195959288,0
664391742,0
101052958,2
1271549210,2
1011874193,0
975667379,1
506629805,1
546503141,0
158693621,1
388514370,0
1882873889,0
778965243,0
1631846977,0
804710044,2
724046224,0
1021098415,0
1229442572,2
1258892753,1
219962286,1
1450879091,2
1258433638,1
1338030700,0
1512948110,1
1354686109,0
1691133534,0
1124504114,0
1029222926,0
1145692431,2
317080616,1
8968421,1
2047225787,0
135399718,2
1967260028,2
1338212592,1
261071247,0
161944191,2
1293573522,2
532313770,1
1865149923,0
1119798183,0
241317651,0
1986594192,1
1757280884,0
1563220875,2
85964225,1
726715501,1
431040096,0
137065499,1
1245761234,0
605089590,0
337946691,2
511882701,2
776835870,0
1255673218,1
473003857,2
1688619851,0
1405493319,2
273553280,2
1344391900,0
1694213157,0
303808754,0
1898420919,1
561243300,1
1766044196,1
1732629994,1
1395220772,0
381251634,2
1197063139,2
278978764,1
931072334,2
344040058,0
1337175390,0
1694775695,2
1512609892,1
1165949857,2
944506160,1
984169736,1
863781855,0
561414519,2
813721450,1
98041241,2
1817796564,1
1400177740,2
541634674,0
1498143461,0
1440547953,0
262108879,2
1647749428,1
998600418,1
2103303281,1
316705601,2
2042267549,1
586369087,1
922033531,1
1339602382,0
305498246,0
465464835,0
809254560,1
787655052,2
1502467117,0
1849834299,0
895116005,2
186628889,0
1908213169,0
1654405863,2
860129196,2
1267963868,2
469178922,0
1649394749,1
1826453194,1
382824666,0
1544217835,2
563490357,0
1243467952,1
1593122401,0
1522981170,0
646338867,2
1207408508,0
1586142311,1
892430699,0
353482896,1
1325875814,1
950739949,0
929186350,1
1312406588,1
2050859840,1
1605601922,2
554471138,1
955327107,0
620732006,0
1211361148,1
1520798634,1
1063684463,1
1282452178,2
1063316101,1
1212339983,1
1282102492,2
1900552305,0
120034514,1
812646623,2
247629585,0
1743052284,0
1299229195,0
821473139,0
248979774,2
615580102,2
366886752,1
153779963,0
781318759,2
506940779,1
1148422404,0
537892858,0
771502150,2
317324417,2
610615209,0
1101705025,0
115351465,2
440405017,2
214908708,0
2013584246,1
31903625,1
274614395,2
1191205552,1
657750191,1
1832112734,2
560405137,2
722644962,0
153432045,0
353461507,1
325293944,1
2086201151,2
583454320,1
580090499,2
1873093530,0
775599957,1
1307683121,1
1640552831,1
84776752,1
1520359883,2
1893039607,0
1093342253,2
1243428893,0
865179475,1
1930017487,0
260182584,1
1212778143,1
1260190263,0
229181737,1
1266601490,0
266709326,1
579231766,1
348735783,0
54490729,1
1340054528,0
926577612,0
1315634313,1
1633379523,0
250851878,1
1093864331,1
151025101,1
1732179679,0
1895840022,2
1809495348,0
1715510990,0
796436998,2
1906206851,2
1532869300,0
527229435,1
520388514,1
883188471,0
761136420,2
1059413902,0
1318548896,0
902174712,2
292069087,0
1883440739,2
1826925273,0
296915105,1
663340514,2
25998056,2
410775631,1
652272557,0
641179332,2
1905633910,2
788243064,0
158089101,0
307892252,1
1801490632,2
1925940610,2
1923255080,2
74122427,1
1270920726,2
998413299,2
77838407,0
501671302,2
66116870,1
52864999,1
582692528,2
81809008,1
1947711641,2
1473384585,1
1911113271,0
1143748183,0
944641797,1
1172830788,0
299141954,0
825324438,0
1161497752,0
1111761571,1
1769686041,2
1351692401,0
1685248793,2
57296104,1
235116294,1
1372293291,2
2003675671,2
782271697,2
1199712270,1
907114190,2
1299111092,1
1201752602,1
2055681419,0
681391859,0
1072480682,1
2008486118,1
623676108,0
1267789205,1
1309477993,1
924870172,1
705028978,0
1207356094,1
393101248,2
596592699,0
1357806522,1
410879447,0
1332069426,2
65339723,0
970397343,1
552172959,1
1503435833,0
1314659510,2
12238286,0
391143600,2
1895741957,1
976925507,2
2012375377,2
1231880481,0
1976282006,2
636167059,1
182629432,0
1352300298,1
133373172,1
752395360,0
1319721117,1
968497939,1
371920405,2
1553301383,0
275298223,0
1117181288,2
319239695,1
793769366,0
1170512867,2
9884556,2
1382564393,2
1384923770,1
1880366064,1
1379488517,1
1589124704,1
184945077,0
113606867,0
824464504,1
1584135328,1
618343703,0
629187624,0
1702602938,2
921240879,1
515990588,2
820948368,2
2021266634,0
598940224,0
602309253,2
1174248909,2
352562788,1
1514930785,2
883849616,2
1359167314,0
2050860165,0
1849237404,0
676133108,2
1757487325,0
359518570,1
1913352272,1
1920681297,0
1868497757,1
559899266,0
1964223661,0
984929915,1
2060831145,1
338719673,2
1954369962,2
1575479373,2
589847634,1
441696329,2
941792163,0
689400525,0
931560882,1
1378033048,2
821163156,1
1498267662,0
1252680508,2
363141153,0
852650245,2
215085255,2
1633928245,0
1105188104,0
2075998816,1
945343702,2
1326540633,2
1214726578,1
99896412,0
1831436930,2
1774183782,0
2057081894,0
1268092663,1
1552881763,1
1982140525,0
588076654,0
1468427415,2
151766523,0
1707964416,1
1969930999,0
249872212,1
1852597641,1
452660182,0
904946223,1
1141173992,1
1531917401,0
393455607,2
1878062979,1
1621892835,1
868147820,1
1103271152,2
670143816,0
112372272,0
2062248248,2
1525720603,0
279438700,0
883506916,2
560182335,1
1580989057,0
577981391,2
1292552316,0
629313469,2
762030420,0
687276676,2
1572446233,1
667806163,1
735466538,2
450797420,1
2121335005,0
5603619,1
335492600,2
2137810150,1
414731577,1
1646179586,2
786344417,2
149080337,1
1420120615,0
1137054309,0
1095130343,0
636752592,0
1011761722,2
452434120,0
1158334254,0
13377448,0
819722257,2
562777710,1
671975752,2
967327411,0
2041310867,2
528732060,0
2073913869,0
1524392677,1
733736710,0
186902394,1
1153011302,1
1395872163,2
1936743696,1
36144126,0
1494113259,2
1963416873,2
800800681,1
105297415,0
1596326952,2
879876749,0
1406624186,2
154234968,0
268494759,2
2077127853,1
852642554,2
1113710371,1
1886540113,2
264037367,0
1778763783,0
1976945329,1
1012612294,0
780709412,1
1283693541,1
101324219,1
97316607,0
1314815173,2
1396223269,0
1605546392,1
1421939794,1
1857156733,1
1600992875,1
1744495276,0
202163294,1
1080010373,2
1835802468,0
826773261,0
315590832,1
811412458,0
1420157067,0
1194392535,0
296023488,1
211246174,0
1536110406,2
779284648,1
434638754,2
786979335,2
1199958902,2
211711744,2
886366392,1
1172652557,2
1067394090,1
770513032,1
2026868366,1
2030406439,0
2040045748,0
1840684791,1
1296788598,0
1096440747,1
1274967209,0
1088212000,0
640098097,2
1965134085,0
489161101,0
1108307132,0
1976843535,1
821991931,1
679936211,1
1784558834,1
448251204,2
885002019,2
763444998,1
1475714338,1
2000722598,0
1505516885,2
1866573950,2
1534407603,1
1395293100,1
1763770865,2
2125178216,2
117968371,1
1028259978,2
1184468087,1
172780046,2
164090242,0
817571700,2
1832532648,1
1060876801,0
629896907,0
728932755,2
767529853,0
690739617,0
1529527678,1
1695892060,1
706660057,0
31475441,1
1423690566,1
1173886039,1
1668651227,2
276954656,1
331798078,2
103709609,1
1662394191,2
1819583652,2
1058607313,2
757334441,1
624230975,1
